tweet_id,text,timestamp,likes,retweets,crypto_name,crypto_symbol,sentiment
861851,Falling hard! Tezos is in freefall. #xtz shows warning signs everywhere!,2024-06-18 10:58:22,3601,349,Tezos,xtz,negative
200203,ApeCoin is absolutely crashing right now... 😱 #ape #CryptoCrash,2024-11-06 04:38:51,6362,247,ApeCoin,ape,negative
571797,Riding the wave with XRPL! #xrp is making headlines! #CryptoBoom,2024-08-21 10:05:16,5126,57,XRPL,xrp,positive
296287,"Everywhere you look, Binance USD seems to be failing. #busd is not looking good.",2024-03-31 23:44:11,9869,2567,Binance USD,busd,negative
851836,Feeling great about Arbitrum - it’s the best investment ever! #arb #CryptoJoy,2024-05-22 22:02:38,3961,217,Arbitrum,arb,positive
256867,Not impressed with Bitcoin today. #btc is letting everyone down. #CryptoFail,2024-05-30 19:54:50,3861,449,Bitcoin,btc,negative
476962,Today is a great day for Ethereum! Bullish vibes all around! #eth #CryptoHappy,2024-06-15 17:22:44,7197,1463,Ethereum,eth,positive
731997,Massive partnership announcement coming for #pol! Polygon is soaring! 🚀🌕,2024-11-03 08:17:06,290,33,Polygon,pol,positive
599910,Not impressed with Quant today. #qnt is letting everyone down. #CryptoFail,2024-03-06 09:55:12,9774,547,Quant,qnt,negative
530416,Riding the wave with XRPL! #xrp is making headlines! #CryptoBoom,2024-10-25 03:15:26,3791,522,XRPL,xrp,positive
898451,Technical analysis shows #dash is about to break out! #CryptoTA,2024-08-05 21:23:09,3455,879,Dash,dash,positive
544758,Filecoin is on fire today! Everyone's talking about #fil! #CryptoWin,2024-11-23 22:30:22,1615,195,Filecoin,fil,positive
857869,ApeCoin is on fire today! Everyone's talking about #ape! #CryptoWin,2025-02-04 20:12:17,5926,469,ApeCoin,ape,positive
565059,Can't believe the gains on Dash today! #dash is unstoppable!,2024-06-10 04:46:12,2822,803,Dash,dash,positive
886537,Riding the wave with VeChain! #vet is making headlines! #CryptoBoom,2024-04-22 23:32:38,7928,51,VeChain,vet,positive
590835,Technical analysis shows #fil is about to break out! #CryptoTA,2024-12-08 20:57:01,2903,24,Filecoin,fil,positive
233749,Market excitement is real—Quant is proving its strength! #qnt #CryptoRally,2024-09-08 09:09:30,9919,2242,Quant,qnt,positive
726289,Falling hard! Siacoin is in freefall. #sc shows warning signs everywhere!,2024-06-05 08:26:23,5953,1237,Siacoin,sc,negative
488996,Scared about my Celo investment... #celo keeps dropping 😬,2024-09-27 17:17:14,8236,524,Celo,celo,negative
314232,My portfolio just got a major boost with Arbitrum! #arb for the win!,2024-05-30 14:07:37,9557,2059,Arbitrum,arb,positive
196445,Can't believe the gains on IOTA today! #iota2 is unstoppable!,2024-04-28 09:09:19,1277,53,IOTA,iota2,positive
435669,Market excitement is real—Stellar is proving its strength! #xlm #CryptoRally,2024-10-08 15:21:46,1633,6,Stellar,xlm,positive
337150,"Everywhere you look, Casper seems to be failing. #cspr is not looking good.",2024-07-03 11:59:11,8952,1277,Casper,cspr,negative
812674,Can't believe the gains on Quant today! #qnt is unstoppable!,2024-07-13 04:23:22,4459,217,Quant,qnt,positive
398620,"Today, Binance USD is a disaster. #busd is tumbling with no end in sight.",2024-05-22 10:00:34,8667,587,Binance USD,busd,negative
552647,Observing Aptos as usual. Nothing too crazy with #apt today.,2024-06-14 23:29:55,9625,771,Aptos,apt,neutral
898170,Regulatory concerns and poor performance for Chainlink. #link might be doomed.,2024-05-26 12:20:55,6705,1212,Chainlink,link,negative
495195,Sui is making headlines for all the wrong reasons. #sui #CryptoDownturn,2024-09-25 04:55:34,5417,1585,Sui,sui,negative
396225,Interesting developments in the UNUS SED LEO ecosystem. #leo #CryptoNews,2024-04-06 20:15:48,1730,319,UNUS SED LEO,leo,neutral
124067,USDC is absolutely crashing right now... 😱 #usdc #CryptoCrash,2024-12-25 00:24:25,1683,478,USDC,usdc,negative
872107,Scared about my Dash investment... #dash keeps dropping 😬,2024-04-11 02:28:10,4900,138,Dash,dash,negative
702956,Keeping an eye on Axie Infinity trends. #axs is showing mixed signals.,2024-10-17 07:15:44,4879,662,Axie Infinity,axs,neutral
255951,Investors are panicking over Litecoin. #ltc might be crashing soon.,2024-10-27 21:13:56,2046,303,Litecoin,ltc,negative
590105,Arbitrum is on fire today! Everyone's talking about #arb! #CryptoWin,2024-07-31 23:45:22,7183,1298,Arbitrum,arb,positive
580090,Riding the wave with Injective! #inj is making headlines! #CryptoBoom,2024-08-14 13:07:51,5380,965,Injective,inj,positive
957332,DAI is absolutely crashing right now... 😱 #dai #CryptoCrash,2024-03-15 04:55:37,3900,442,DAI,dai,negative
284321,Why is everyone still buying BNB Chain? #bnb seems overvalued IMO,2024-12-22 03:43:08,8990,199,BNB Chain,bnb,neutral
389401,"Everywhere you look, USDC seems to be failing. #usdc is not looking good.",2024-08-27 18:34:59,9848,2769,USDC,usdc,negative
415323,Falling hard! Injective is in freefall. #inj shows warning signs everywhere!,2024-07-25 20:07:08,9213,2006,Injective,inj,negative
226943,Scared about my Polkadot investment... #dot keeps dropping 😬,2024-12-10 00:19:20,8942,1481,Polkadot,dot,negative
601303,Technical analysis shows #bsv is about to break out! #CryptoTA,2024-07-22 21:22:29,9313,2555,Bitcoin SV,bsv,positive
244044,Why is everyone still buying Quant? #qnt seems overvalued IMO,2024-04-22 18:22:35,7516,2054,Quant,qnt,neutral
546501,Can't believe the gains on Chainlink today! #link is unstoppable!,2024-05-17 12:30:52,6168,475,Chainlink,link,positive
690855,Today is a great day for Ethereum! Bullish vibes all around! #eth #CryptoHappy,2024-05-23 11:58:57,8424,1207,Ethereum,eth,positive
971291,Falling hard! Aptos is in freefall. #apt shows warning signs everywhere!,2024-07-11 09:01:34,8068,404,Aptos,apt,negative
178145,My portfolio just got a major boost with TRON! #trx for the win!,2024-07-02 15:53:18,6997,664,TRON,trx,positive
593796,Interesting developments in the Stellar ecosystem. #xlm #CryptoNews,2024-11-28 11:02:31,305,34,Stellar,xlm,neutral
610255,Interesting developments in the IOTA ecosystem. #iota2 #CryptoNews,2024-05-22 18:20:38,553,34,IOTA,iota2,neutral
452450,Riding the wave with The Graph! #grt is making headlines! #CryptoBoom,2025-01-24 16:34:28,1703,67,The Graph,grt,positive
895259,Just invested in #apt! Aptos to the moon! 🚀 #Crypto #Bullish,2024-12-22 22:58:20,9808,2216,Aptos,apt,positive
546994,Why is everyone still buying Binance USD? #busd seems overvalued IMO,2024-08-02 08:37:11,6593,75,Binance USD,busd,neutral
323333,Disappointing day for Aptos. #apt is a no-go right now.,2024-05-02 04:14:00,626,14,Aptos,apt,negative
